Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.4418560941262,27.4735802318339,29.6748627315109,31.8755891610669,34.0944312907889,36.3312261244574,38.5671193339185,41.0836738960922,43.6326087182233,46.2137626459091,48.8269685242371,51.4723764683198,54.1494916362474,56.8581415948124,59.5981581738121,62.3696595585624,65.1721622599667,68.0088715856643,70.8799408932308,73.7846429967308,76.72225540254,79.6930784589074,82.1753711181706,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.8096398119598,42.499932663405,43.2070389152333,43.9186580801875,44.6351380246829,45.4338531877301,46.2370148266685,47.0067984350456,47.8598501215049,48.7205147630537,49.5788030404396,50.2577961105707,51.0846431962301,51.9101509528647,52.747072324836,53.6029859054055,54.4164559283868,55.2338909572547,56.0688342053276,56.8776971299163,57.6433851469426,58.3844552328201,59.1034631102632,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.6704404671793,51.5917071561771,52.6420452492208,53.6947979589101,54.7567465647746,55.8268006887002,56.899330426332,57.9697911040028,59.0367374924471,60.1019357611011,61.1679959627661,62.2463502156149,63.3239899632335,64.3981839173514,65.4728152474777,66.5484071078333,67.6172260539602,68.6819602315201,69.7490709976563,70.7984871895402,71.8450630941457,72.9354910903632,74.0456398618969,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.3970439494077,86.9040684917649,87.4516357159612,87.9871967181199,88.5105812614285,89.0211858391228,89.5191349968004,90.0041903832584,90.4761498369914,90.9344096153208,91.3794796111017,91.8108885574113,92.2287785293112,92.631596058428,93.0200580597032,93.3943239683645,93.7548779094968,94.1020962002701,94.4363934347219,94.7582247174548,95.0680388145809,95.0815134425003,95.0945635220358,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.8488285798425,90.1134477964222,90.3738043329469,90.6297224767556,90.8812547235952,91.128253391014,91.3709555341436,91.6092319914834,91.8433087449211,92.0720349659473,92.2959734615905,92.5149892867463,92.7451846992975,92.9708811462695,93.1923467804089,93.4095576469991,93.6227755358994,93.8319749303098,94.0374149250041,94.2391398601614,94.4373299704124,94.6321020435575,94.6613975479238,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.9322903901615,95.1859645914257,95.4396387926897,95.6933129939538,95.9469871952179,96.200661396482,96.454335597746,96.7080097990101,96.9616840002742,97.2153582015383,97.4690324028023,97.7227066040664,97.9763808053305,98.2300550065946,98.4837292078587,98.7374034091227,98.9910776103868,99.2447518116509,99.2447518116509,99.2447518116509,99.2447518116509,99.2447518116509,..,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.9999994632633,100,100,100,100,99.9999978782282,100,100,100,100,99.9999980744897,100,99.9999980016794,100,100,100,99.99999600335,100,99.9999955655473,99.9999967920626,99.9999985271439,100,100,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.1443097881583,42.254675873402,43.3768004555676,44.3638728219385,45.351334802482,46.336018417288,47.1502307724816,47.9614692762391,48.7704037164953,49.5751644888688,50.3768404281237,51.1748356552453,51.9685419144087,52.7573457655021,53.5415077905239,54.316930612657,55.0842725132132,55.842909522296,56.5917487678333,56.8830374949169,57.1677379228367,57.4467255251773,57.7195606692859,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.3665557888391,98.3661765475755,98.3658215623444,98.365707226978,98.3655938007866,98.36547509164,98.3653622690749,98.3652624014084,98.3651754449695,98.365100591671,98.3650387230105,98.3649937785451,98.364957284814,98.3649356183032,..
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.2258116323951,78.5154450493923,78.8377651099922,79.243867160769,79.6432126093173,80.169438523267,80.7343714406803,81.2537997043085,81.8335388902409,82.3996684310146,82.9482565394815,83.4880313570634,84.0103265196717,84.5215674438589,85.0200902119517,86.5692152492858,87.0019795027031,87.4210118326116,87.9298032333574,88.3397547343893,88.7142733580402,89.0059760967097,89.1248175254703,..
